Bal_Test_M,Bal_Test_Inn,Bal_Test_B,Bal_Test_Runs,Bal_Test_Wkts,Bal_Test_BBI,Bal_Test_BBM,Bal_Test_Econ,Bal_Test_Avg,Bal_Test_SR,Bal_Test_5W,Bal_Test_10W,Bal_ODI_M,Bal_ODI_Inn,Bal_ODI_B,Bal_ODI_Runs,Bal_ODI_Wkts,Bal_ODI_BBI,Bal_ODI_BBM,Bal_ODI_Econ,Bal_ODI_Avg,Bal_ODI_SR,Bal_ODI_5W,Bal_ODI_10W,Bal_T20I_M,Bal_T20I_Inn,Bal_T20I_B,Bal_T20I_Runs,Bal_T20I_Wkts,Bal_T20I_BBI,Bal_T20I_BBM,Bal_T20I_Econ,Bal_T20I_Avg,Bal_T20I_SR,Bal_T20I_5W,Bal_T20I_10W,Bal_IPL_M,Bal_IPL_Inn,Bal_IPL_B,Bal_IPL_Runs,Bal_IPL_Wkts,Bal_IPL_BBI,Bal_IPL_BBM,Bal_IPL_Econ,Bal_IPL_Avg,Bal_IPL_SR,Bal_IPL_5W,Bal_IPL_10W
102,11,175,84,0,0/0,0/0,2.88,0.0,0.0,0,0,264,48,641,665,4,1/15,1/15,6.22,166.25,160.25,0,0,115,13,152,204,4,1/13,1/13,8.05,51.0,38.0,0,0,223,26,251,368,4,2/25,2/25,8.8,92.0,62.75,0,0
45,16,383,224,2,1/26,1/35,3.51,112.0,191.5,0,0,235,38,593,515,8,2/27,2/27,5.21,64.38,74.12,0,0,148,9,68,113,1,1/22,1/22,9.97,113.0,68.0,0,0,227,32,339,453,15,4/6,4/6,8.02,30.2,22.6,0,0
34,5,54,18,0,0/0,0/0,2.0,0.0,0.0,0,0,166,-,-,-,-,-,-,-,-,-,-,-,68,-,-,-,-,-,-,-,-,-,-,-,206,6,48,66,4,1/7,1/7,8.25,16.5,12.0,0,0
11,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74,-,-,-,-,-,-,-,-,-,-,-
5,-,-,-,-,-,-,-,-,-,-,-,38,4,31,37,0,0/1,0/1,7.16,0.0,0.0,0,0,49,1,2,2,0,0/2,0/2,0.0,0.0,0.0,0,0,101,1,6,7,0,0/7,0/7,7.0,0.0,0.0,0,0
-,-,-,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,39,-,-,-,-,-,-,-,-,-,-,-,160,-,-,-,-,-,-,-,-,-,-,-
21,-,-,-,-,-,-,-,-,-,-,-,5,1,6,10,0,0/10,0/10,10.0,0.0,0.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,113,-,-,-,-,-,-,-,-,-,-,-
5,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,63,-,-,-,-,-,-,-,-,-,-,-
96,1,6,2,0,0/2,0/2,2.0,0.0,0.0,0,0,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-
82,-,-,-,-,-,-,-,-,-,-,-,90,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,158,1,6,5,1,1/5,1/5,5.0,5.0,6.0,0,0
11,19,937,528,17,5/28,6/50,3.38,31.06,55.12,1,0,66,61,2632,2438,63,4/24,4/24,5.56,38.7,41.78,0,0,81,70,1223,1695,62,4/33,4/33,8.32,27.34,19.73,0,0,107,70,1052,1535,50,3/17,3/17,8.75,30.7,21.04,0,0
16,10,345,180,5,3/37,3/38,3.13,36.0,69.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,6,42,47,1,1/5,1/5,6.71,47.0,42.0,0,0
60,114,14751,5980,242,7/48,10/154,2.43,24.71,60.95,10,1,171,166,8611,7062,189,5/36,5/36,4.92,37.37,45.56,1,0,64,62,1237,1453,51,3/15,3/15,7.05,28.49,24.25,0,0,210,181,3205,4064,132,5/16,5/16,7.61,30.79,24.28,1,0
