Bat_Test_M,Bat_Test_Inn,Bat_Test_NO,Bat_Test_Runs,Bat_Test_HS,Bat_Test_Avg,Bat_Test_BF,Bat_Test_SR,Bat_Test_100,Bat_Test_200,Bat_Test_50,Bat_Test_4s,Bat_Test_6s,Bat_ODI_M,Bat_ODI_Inn,Bat_ODI_NO,Bat_ODI_Runs,Bat_ODI_HS,Bat_ODI_Avg,Bat_ODI_BF,Bat_ODI_SR,Bat_ODI_100,Bat_ODI_200,Bat_ODI_50,Bat_ODI_4s,Bat_ODI_6s,Bat_T20I_M,Bat_T20I_Inn,Bat_T20I_NO,Bat_T20I_Runs,Bat_T20I_HS,Bat_T20I_Avg,Bat_T20I_BF,Bat_T20I_SR,Bat_T20I_100,Bat_T20I_200,Bat_T20I_50,Bat_T20I_4s,Bat_T20I_6s,Bat_IPL_M,Bat_IPL_Inn,Bat_IPL_NO,Bat_IPL_Runs,Bat_IPL_HS,Bat_IPL_Avg,Bat_IPL_BF,Bat_IPL_SR,Bat_IPL_100,Bat_IPL_200,Bat_IPL_50,Bat_IPL_4s,Bat_IPL_6s
102,173,10,8074,254,49.53,14499,55.69,27,7,28,910,24,264,255,39,12358,183,57.21,13317,92.8,43,0,64,1161,126,115,107,31,4008,122,52.74,2905,137.97,1,0,37,356,117,223,215,32,6624,113,36.2,5129,129.15,5,0,44,578,218
45,77,9,3137,212,46.13,5625,55.77,8,1,14,335,64,235,228,34,9454,264,48.73,10572,89.42,29,3,46,862,256,148,140,15,3853,118,30.82,2767,139.25,4,0,29,348,182,227,222,28,5879,109,30.3,4526,129.89,1,0,40,519,240
34,58,1,2315,190,40.61,3458,66.95,7,0,5,316,12,166,163,10,6790,143,44.38,7428,91.41,17,0,39,842,79,68,66,3,1759,92,27.92,1392,126.36,0,0,11,191,50,206,205,26,6243,106,34.88,4942,126.33,2,0,47,701,136
11,21,2,579,91,30.47,1010,57.33,0,0,4,75,8,15,15,3,687,130,57.25,693,99.13,1,0,4,74,11,-,-,-,-,-,-,-,-,-,-,-,-,-,74,71,12,1900,96,32.2,1517,125.25,0,0,14,188,47
5,9,0,422,105,46.89,615,68.62,1,0,3,52,9,38,34,3,1534,113,49.48,1595,96.18,2,0,14,152,30,49,45,11,1043,74,30.68,767,135.98,0,0,7,85,42,101,101,13,2776,96,31.55,2214,125.38,0,0,19,237,99
-,-,-,-,-,-,-,-,-,-,-,-,-,29,24,7,566,104,33.29,625,90.56,1,0,2,45,5,39,33,17,709,79,44.31,562,126.16,0,0,3,49,19,160,149,27,3648,114,29.9,3002,121.52,1,0,21,317,105
21,36,0,1488,243,41.33,2782,53.49,4,2,6,189,28,5,5,0,86,32,17.2,83,103.61,0,0,0,12,1,-,-,-,-,-,-,-,-,-,-,-,-,-,113,107,4,2331,106,22.63,1733,134.51,1,0,12,227,91
5,9,1,339,134,42.38,394,86.04,1,0,2,48,2,6,6,0,189,49,31.5,166,113.86,0,0,0,32,2,1,1,0,0,0,0.0,1,0.0,0,0,0,0,0,63,63,0,1588,99,25.21,1077,147.45,0,0,12,192,55
96,164,9,6792,206,43.82,15383,44.15,18,3,33,816,15,5,5,0,51,27,10.2,130,39.23,0,0,0,4,0,-,-,-,-,-,-,-,-,-,-,-,-,-,30,22,3,390,51,20.53,391,99.74,0,0,1,50,4
82,140,12,4931,188,38.52,9972,49.45,12,0,25,561,34,90,87,3,2962,111,35.26,3767,78.63,3,0,24,293,33,20,20,2,375,61,20.83,331,113.29,0,0,1,32,6,158,148,16,4074,105,30.86,3376,120.68,2,0,28,431,80
11,18,1,532,108,31.29,720,73.89,1,0,4,68,12,66,48,7,1386,92,33.8,1199,115.6,0,0,8,105,54,81,61,16,1160,71,25.78,794,146.1,0,0,3,81,62,107,100,35,1963,91,30.2,1330,147.59,0,0,8,146,110
16,28,3,839,111,33.56,1988,42.2,1,0,5,107,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,23,3,284,46,14.2,321,88.47,0,0,0,23,1
60,89,20,2523,175,36.57,4240,59.5,3,0,17,253,55,171,115,40,2447,87,32.63,2828,86.53,0,0,13,179,50,64,34,15,457,46,24.05,367,124.52,0,0,0,34,12,210,161,67,2502,62,26.62,1960,127.65,0,0,2,182,90
86,123,14,2931,124,26.89,5364,54.64,5,0,12,339,16,113,63,20,707,65,16.44,813,86.96,0,0,1,60,7,65,19,12,184,31,26.29,160,115.0,0,0,0,17,4,184,75,27,647,50,13.48,550,117.64,0,0,1,51,21
43,74,2,2547,199,35.38,4833,52.7,7,0,13,309,17,47,45,6,1752,112,44.92,1993,87.91,5,0,11,130,43,72,68,8,2265,110,37.75,1628,139.13,2,0,22,191,99,109,100,19,3889,132,48.01,2855,136.22,4,0,31,327,164
-,-,-,-,-,-,-,-,-,-,-,-,-,11,10,5,330,86,66.0,315,104.76,0,0,2,25,15,16,15,1,296,77,21.14,219,135.16,0,0,1,23,13,138,134,13,3526,119,29.14,2598,135.72,3,0,17,279,158
40,56,10,1353,117,29.41,2973,45.51,3,0,6,129,14,9,5,2,41,16,13.67,56,73.21,0,0,0,5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,144,119,23,2427,115,25.28,1898,127.87,1,0,11,231,76
31,53,4,2123,159,43.33,2922,72.66,5,0,10,233,48,30,26,1,865,125,34.6,811,106.66,1,0,5,90,26,66,56,12,987,65,22.43,780,126.54,0,0,3,86,37,98,97,15,2838,128,34.61,1918,147.97,1,0,15,260,129
60,84,24,685,56,11.42,928,73.81,0,0,2,76,22,82,39,17,184,25,8.36,222,82.88,0,0,0,14,8,23,3,2,0,0,0.0,2,0.0,0,0,0,0,0,93,23,12,69,21,6.27,73,94.52,0,0,0,5,2
30,46,17,212,34,7.31,455,46.59,0,0,0,24,6,72,20,13,47,14,6.71,93,50.54,0,0,0,5,1,60,7,5,8,7,4.0,13,61.54,0,0,0,1,0,120,26,19,56,16,8.0,66,84.85,0,0,0,4,1
7,8,0,54,26,6.75,185,29.19,0,0,0,6,0,72,24,13,125,19,11.36,199,62.81,0,0,0,10,0,25,4,3,43,23,43.0,48,89.58,0,0,0,2,0,59,18,11,105,16,15.0,127,82.68,0,0,0,8,2
-,-,-,-,-,-,-,-,-,-,-,-,-,70,14,5,77,18,8.56,141,54.61,0,0,0,8,0,71,4,2,5,3,2.5,11,45.45,0,0,0,0,0,131,20,13,37,8,5.29,86,43.02,0,0,0,0,0
