name,team,date_of_birth,palce_of_birth,role,height,test_bat_rank,odi_bat_rank,t20_bat_rank,test_bow_rank,odi_bow_rank,t20_bow_rank,link,bat_path,bow_path
Virat Kohli,India,"Nov 05, 1988 (34 years)",Delhi,Batsman,5 ft 9 in (175 cm),11,10,13,--,--,--,https://www.cricbuzz.com/profiles/1413/virat-kohli,Scores/bat_1413.csv,Scores/bow_1413.csv
Rohit Sharma,India,"Apr 30, 1987 (35 years)","Nagpur, Maharashtra",Batsman,--,9,9,21,--,--,--,https://www.cricbuzz.com/profiles/576/rohit-sharma,Scores/bat_576.csv,Scores/bow_576.csv
Shikhar Dhawan,India,"Dec 05, 1985 (37 years)",Delhi,Batsman,--,--,17,--,--,--,--,https://www.cricbuzz.com/profiles/1446/shikhar-dhawan,Scores/bat_1446.csv,Scores/bow_1446.csv
Shubman Gill,India,"Sep 08, 1999 (23 years)","Firozpur, Punjab",Batsman,--,62,36,--,--,--,--,https://www.cricbuzz.com/profiles/11808/shubman-gill,Scores/bat_11808.csv,Scores/bow_11808.csv
Shreyas Iyer,India,"Dec 06, 1994 (28 years)",Mumbai,Batsman,--,37,20,55,--,--,--,https://www.cricbuzz.com/profiles/9428/shreyas-iyer,Scores/bat_9428.csv,Scores/bow_9428.csv
Manish Pandey,India,"Sep 10, 1989 (33 years)","Nainital, Uttaranchal",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1836/manish-pandey,Scores/bat_1836.csv,Scores/bow_1836.csv
Mayank Agarwal,India,"Feb 16, 1991 (31 years)","Bangalore, Karnataka",Batsman,--,24,--,--,--,--,--,https://www.cricbuzz.com/profiles/2195/mayank-agarwal,Scores/bat_2195.csv,Scores/bow_2195.csv
Prithvi Shaw,India,"Nov 09, 1999 (23 years)","Thane, Maharashtra",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/12094/prithvi-shaw,Scores/bat_12094.csv,Scores/bow_12094.csv
Cheteshwar Pujara,India,"Jan 25, 1988 (34 years)","Rajkot, Gujarat",Batsman,--,28,--,--,--,--,--,https://www.cricbuzz.com/profiles/1448/cheteshwar-pujara,Scores/bat_1448.csv,Scores/bow_1448.csv
Ajinkya Rahane,India,"Jun 06, 1988 (34 years)","Ashwi-KD, Maharashtra",Batsman,--,40,--,--,--,--,--,https://www.cricbuzz.com/profiles/1447/ajinkya-rahane,Scores/bat_1447.csv,Scores/bow_1447.csv
Hardik Pandya,India,"Oct 11, 1993 (29 years)","Choryasi, Gujarat",Batting Allrounder,--,--,71,50,--,--,86,https://www.cricbuzz.com/profiles/9647/hardik-pandya,Scores/bat_9647.csv,Scores/bow_9647.csv
Hanuma Vihari,India,"Oct 13, 1993 (29 years)","Kakinada, Andhra Pradesh",Batting Allrounder,--,55,--,--,--,--,--,https://www.cricbuzz.com/profiles/8424/hanuma-vihari,Scores/bat_8424.csv,Scores/bow_8424.csv
Ravindra Jadeja,India,"Dec 06, 1988 (34 years)","Navagam-Khed, Saurashtra",Bowling Allrounder,--,36,--,--,19,62,--,https://www.cricbuzz.com/profiles/587/ravindra-jadeja,Scores/bat_587.csv,Scores/bow_587.csv
Ravichandran Ashwin,India,"Sep 17, 1986 (36 years)","Chennai, Tamil Nadu",Bowling Allrounder,--,86,--,--,2,--,22,https://www.cricbuzz.com/profiles/1593/ravichandran-ashwin,Scores/bat_1593.csv,Scores/bow_1593.csv
KL Rahul,India,"Apr 18, 1992 (30 years)","Mangaluru, Karnataka",WK-Batsman,--,47,35,19,--,--,--,https://www.cricbuzz.com/profiles/8733/kl-rahul,Scores/bat_8733.csv,Scores/bow_8733.csv
Sanju Samson,India,"Nov 11, 1994 (28 years)","Pulluvila, Vizhinjam, Trivandrum",WK-Batsman,--,--,89,--,--,--,--,https://www.cricbuzz.com/profiles/8271/sanju-samson,Scores/bat_8271.csv,Scores/bow_8271.csv
Wriddhiman Saha,India,"Oct 24, 1984 (38 years)",Shaktigarh,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1465/wriddhiman-saha,Scores/bat_1465.csv,Scores/bow_1465.csv
Rishabh Pant,India,"Oct 04, 1997 (25 years)","Haridwar, Uttarakhand",WK-Batsman,--,5,82,82,--,--,--,https://www.cricbuzz.com/profiles/10744/rishabh-pant,Scores/bat_10744.csv,Scores/bow_10744.csv
Mohammed Shami,India,"Sep 03, 1990 (32 years)","Amroha, Uttar Pradesh",Bowler,--,--,--,--,17,44,87,https://www.cricbuzz.com/profiles/7909/mohammed-shami,Scores/bat_7909.csv,Scores/bow_7909.csv
Jasprit Bumrah,India,"Dec 06, 1993 (29 years)",Ahmedabad,Bowler,--,--,--,--,4,16,79,https://www.cricbuzz.com/profiles/9311/jasprit-bumrah,Scores/bat_9311.csv,Scores/bow_9311.csv
Kuldeep Yadav,India,"Dec 14, 1994 (27 years)","Kanpur, Uttar Pradesh",Bowler,--,--,--,--,69,28,--,https://www.cricbuzz.com/profiles/8292/kuldeep-yadav,Scores/bat_8292.csv,Scores/bow_8292.csv
