name,team,height,date_of_birth,birth_place,role,teams,bat_test,bat_odi,bat_t20,bow_test,bow_odi,bow_t20
Virat Kohli,India,5 ft 9 in (175 cm),"Nov 05, 1988 (34 years)",Delhi,Batsman,"India, Delhi, India Red, India U19, Royal Challengers Bangalore, Board Presidents XI, North Zone, Indians, India A, Asia XI",12,8,13,--,--,--
Rohit Sharma,India,--,"Apr 30, 1987 (35 years)","Nagpur, Maharashtra",Batsman,"India, Deccan Chargers, India A, India Green, India U19, Mumbai, Mumbai Indians, Indians, India Blue, Board Presidents XI",9,9,21,--,--,--
Shikhar Dhawan,India,--,"Dec 05, 1985 (36 years)",Delhi,Batsman,"Board Presidents XI, Mumbai Indians, India, Deccan Chargers, India Red, India A, Rest of India, North Zone, Mumbai A, Delhi, Sunrisers Hyderabad, Indians, Delhi Capitals, India B, Asia XI, Punjab Kings",--,15,--,--,--,--
Shubman Gill,India,--,"Sep 08, 1999 (23 years)","Firozpur, Punjab",Batsman,"Punjab, India U19, India U23, India A, Kolkata Knight Riders, India B, India, India C, India Blue, Gujarat Titans, Leicestershire, Glamorgan",64,34,--,--,--,--
Shreyas Iyer,India,--,"Dec 06, 1994 (27 years)",Mumbai,Batsman,"India, India U19, West Zone, Mumbai, Delhi Capitals, India A, Indian Board Presidents XI, India B, Mumbai Cricket Association XI, India Blue, India Green, Board Presidents XI, Rest of India, NaMo Bandra Blasters, Kolkata Knight Riders",37,27,55,--,--,--
Manish Pandey,India,--,"Sep 10, 1989 (33 years)","Nainital, Uttaranchal",Batsman,"Karnataka, Board Presidents XI, Royal Challengers Bangalore, Pune Warriors, India Blue, India A, South Zone, Kolkata Knight Riders, India, Mumbai Indians, Mysore Warriors, India AT20, India Red, India B, Belagavi Panthers, Sunrisers Hyderabad, Lucknow Super Giants, Gulbarga Mystics",--,--,--,--,--,--
Mayank Agarwal,India,--,"Feb 16, 1991 (31 years)","Bangalore, Karnataka",Batsman,"Davangere Diamonds, Royal Challengers Bangalore, Karnataka, Delhi Capitals, South Zone, India A, Belagavi Panthers, India AT20, India, India B, India Blue, Rising Pune Supergiant, India Red, Hubli Tigers, Indian Board Presidents XI, Punjab Kings, Rest of India, Board Presidents XI, India C, Indians, Bengaluru Blasters",24,--,--,--,--,--
Prithvi Shaw,India,--,"Nov 09, 1999 (23 years)","Thane, Maharashtra",Batsman,"India U19, Mumbai, India U23, India Red, India A, Indian Board Presidents XI, Delhi Capitals, Rest of India, India, Board Presidents XI, North Mumbai Panthers, West Zone",--,--,--,--,--,--
Cheteshwar Pujara,India,--,"Jan 25, 1988 (34 years)","Rajkot, Gujarat",Batsman,"Board Presidents XI, Kolkata Knight Riders, India, Royal Challengers Bangalore, India A, Rest of India, India B, West Zone, Mumbai A, Saurashtra, Indians, Punjab Kings, Derbyshire, Yorkshire, Indian Board Presidents XI, India Blue, Nottinghamshire, Zalawad Royals, Chennai Super Kings, Sussex, Leicestershire",27,--,--,--,--,--
Ajinkya Rahane,India,--,"Jun 06, 1988 (34 years)","Ashwi-KD, Maharashtra",Batsman,"Mumbai, Board Presidents XI, Rajasthan Royals, India, India A, Rest of India, West Zone, Indians, Mumbai Indians, Rising Pune Supergiant, India C, Hampshire, Delhi Capitals, Kolkata Knight Riders",39,--,--,--,--,--
Hardik Pandya,India,--,"Oct 11, 1993 (29 years)","Choryasi, Gujarat",Batting Allrounder,"India, Baroda, Mumbai Indians, India A, India AT20, Indian Board Presidents XI, World XI, Gujarat Titans, Indians",--,66,50,--,--,--
Hanuma Vihari,India,--,"Oct 13, 1993 (29 years)","Kakinada, Andhra Pradesh",Batting Allrounder,"India U19, Hyderabad, East Zone, South Zone, Sunrisers Hyderabad, India Blue, Andhra, India U23, India A, India B, Rest of India, Dindigul Dragons, India, Board Presidents XI, Delhi Capitals, Warwickshire, Indians, Leicestershire",57,--,--,--,--,--
Ravindra Jadeja,India,--,"Dec 06, 1988 (33 years)","Navagam-Khed, Saurashtra",Bowling Allrounder,"India, India U19, Rajasthan Royals, Saurashtra, Board Presidents XI, Kochi Tuskers Kerala, Chennai Super Kings, India B, Indians, India A, Gujarat Lions, India Blue, Rest of India",36,--,--,21,57,--
Ravichandran Ashwin,India,--,"Sep 17, 1986 (36 years)","Chennai, Tamil Nadu",Bowling Allrounder,"India, Board Presidents XI, Chennai Super Kings, Tamil Nadu, Indians, Rising Pune Supergiant, Dindigul Dragons, Worcestershire, Punjab Kings, India A, Rest of India, Nottinghamshire, Delhi Capitals, Yorkshire, Surrey, Rajasthan Royals",87,--,--,2,--,22
KL Rahul,India,--,"Apr 18, 1992 (30 years)","Mangaluru, Karnataka",WK-Batsman,"India, Karnataka, East Zone, South Zone, Royal Challengers Bangalore, India A, Sunrisers Hyderabad, Indians, Hubli Tigers, Indian Board Presidents XI, Bellary Tuskers, Punjab Kings, Asia XI, Lucknow Super Giants",45,40,19,--,--,--
Sanju Samson,India,--,"Nov 11, 1994 (28 years)","Pulluvila, Vizhinjam, Trivandrum",WK-Batsman,"India, Kolkata Knight Riders, India U19, Kerala, East Zone, South Zone, Rajasthan Royals, India A, Indians, India AT20, Delhi Capitals, Indian Board Presidents XI",--,83,--,--,--,--
Wriddhiman Saha,India,--,"Oct 24, 1984 (38 years)",Shaktigarh,WK-Batsman,"Board Presidents XI, Kolkata Knight Riders, India, Chennai Super Kings, India Red, India A, Rest of India, Bengal, East Zone, Indians, Punjab Kings, Mohun Bagan, Sunrisers Hyderabad, Gujarat Titans, Tripura",--,--,--,--,--,--
Rishabh Pant,India,--,"Oct 04, 1997 (25 years)","Haridwar, Uttarakhand",WK-Batsman,"Delhi, India U19, Delhi Capitals, India, India A, North Zone, India Blue, India Red, Indian Board Presidents XI, Asia XI, Indians, Leicestershire",5,73,82,--,--,--
Mohammed Shami,India,--,"Sep 03, 1990 (32 years)","Amroha, Uttar Pradesh",Bowler,"Kolkata Knight Riders, India A, Bengal, India, Rest of India, Board Presidents XI, East Zone, Indians, Delhi Capitals, Mohun Bagan, World XI, Punjab Kings, Asia XI, Gujarat Titans",--,--,--,17,42,87
Jasprit Bumrah,India,--,"Dec 06, 1993 (28 years)",Ahmedabad,Bowler,"India, Mumbai Indians, Gujarat, West Zone, India A, India Green, Indians, Leicestershire",--,--,--,4,14,79
Kuldeep Yadav,India,--,"Dec 14, 1994 (27 years)","Kanpur, Uttar Pradesh",Bowler,"India, India U19, Kolkata Knight Riders, Central Zone, India A, Uttar Pradesh, India AT20, Indian Board Presidents XI, India Red, Rest of India, Asia XI, Delhi Capitals",--,--,--,70,26,--
