job_id,job_role,company,experience,salary,location,rating,reviews,resposibilities,posted_on,job_link,company_link
070123006070,Branch Banking - Calling For Women Candidates,Hdfc Bank,1-6 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas), rajasthan",4.0,39110 Reviews,"Customer Service,Sales,Relationship Management",Few Hours Ago,https://www.naukri.com/job-listings-branch-banking-calling-for-women-candidates-hdfc-bank-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-rajasthan-1-to-6-years-070123006070,https://www.naukri.com/hdfc-bank-jobs-careers-213
060123905908,Product Owner Senior Manager,Accenture,11-15 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, delhi ncr",4.1,32096 Reviews,"Product management,Market analysis,Change management,Agile,Analytics,Business process,Strategy consulting,Interpersonal skills",1 Day Ago,https://www.naukri.com/job-listings-product-owner-senior-manager-accenture-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-11-to-15-years-060123905908,https://www.naukri.com/accenture-jobs-careers-7682
060123905898,Employee Relations and Policies Associate Manager,Accenture,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, delhi ncr",4.1,32096 Reviews,"Business process,Change management,Team management,Stakeholder management,Continuous improvement,Data Analytics,Program Management,Strategy consulting",1 Day Ago,https://www.naukri.com/job-listings-employee-relations-and-policies-associate-manager-accenture-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-3-to-7-years-060123905898,https://www.naukri.com/accenture-jobs-careers-7682
060123905897,Employee Relations and Policies Specialist,Accenture,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, delhi ncr",4.1,32096 Reviews,"Business process,Change management,Team management,Stakeholder management,Continuous improvement,Program Management,Data Analytics,Strategy consulting",1 Day Ago,https://www.naukri.com/job-listings-employee-relations-and-policies-specialist-accenture-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-3-to-7-years-060123905897,https://www.naukri.com/accenture-jobs-careers-7682
060123008332,SAP BO Consultant,Mindtree,5-7 Yrs,Not disclosed,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Coimbatore, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",4.1,3756 Reviews,"SAP BO,PL / SQL,Oracle SQL,SAP Business Objects 4 x ( Information Design Tool,Universe Design Tool,Web Intelligence,SAP BO Administration,SAP BO Dashboards",1 Day Ago,https://www.naukri.com/job-listings-sap-bo-consultant-mindtree-kolkata-hyderabad-secunderabad-pune-chennai-coimbatore-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-5-to-7-years-060123008332,https://www.naukri.com/mindtree-jobs-careers-30528
060123006373,ServiceNow Consultants / Sr. Consultants ( Development ),Deloitte,5-10 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",4.0,10253 Reviews,"Itam,ITSM,Hrsd,GRC,Itom,CSD",1 Day Ago,https://www.naukri.com/job-listings-servicenow-consultants-sr-consultants-development-deloitte-kolkata-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-5-to-10-years-060123006373,https://www.naukri.com/deloitte-jobs-careers-1706
050123005766,Python Architect with Microservice Opening in LTIMindtree,Mindtree,9-14 Yrs,Not disclosed,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",4.1,3756 Reviews,"Python architect,Microservices,Python,Microservice,REST APIs,XML,SQL,JSON",2 Days Ago,https://www.naukri.com/job-listings-python-architect-with-microservice-opening-in-ltimindtree-mindtree-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-9-to-14-years-050123005766,https://www.naukri.com/mindtree-jobs-careers-30528
050123005519,C++ Developer (Looking For immediate joiners or 1 month NP),Capgemini,5-10 Yrs,Not disclosed,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",3.9,23762 Reviews,"C++,stl,Node js,SVN,Go,Git,Python",2 Days Ago,https://www.naukri.com/job-listings-c-developer-looking-for-immediate-joiners-or-1-month-np-capgemini-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-5-to-10-years-050123005519,https://www.naukri.com/capgemini-jobs-careers-649
281022011428,Role: Emerging Leader,Elasticrun,4-8 Yrs,Not disclosed,"Kochi/Cochin, Bhubaneswar, Mumbai, Vijayawada, Indore, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3.7,1190 Reviews,"Procurement,channel sales,Operations,sales,general trade,technology,distribution",2 Days Ago,https://www.naukri.com/job-listings-role-emerging-leader-elasticrun-kochi-cochin-bhubaneswar-mumbai-vijayawada-indore-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-4-to-8-years-281022011428,https://www.naukri.com/elasticrun-jobs-careers-3144112
070123004150,Functional Architect -  Oracle Supply Chain Management (Fusion),Oracle,7-12 Yrs,Not disclosed,"Hybrid - Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",3.9,3841 Reviews,"order management,Warehouse Management,supply chain management,Analytics",Today,https://www.naukri.com/job-listings-functional-architect-oracle-supply-chain-management-fusion-oracle-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-7-to-12-years-070123004150,https://www.naukri.com/oracle-jobs-careers-6101
